number,value,datetime_start,datetime_complete,duration,params_ADX,params_ATR,params_Bollinger Bands,params_CCI,params_Donchian,params_Force Index,params_Keltner,params_MA20,params_MA5,params_MACD,params_Momentum,params_MomentumBBL,params_OBV,params_PPO,params_PSAR,params_ROC,params_RSI,params_SL,params_SO,params_TP,params_TSI,params_UO,params_VWAP,params_Volume_MA,params_Vortex,params_Williams R,state
0,,2024-12-25 20:11:11.865736,2024-12-25 20:11:11.958537,0 days 00:00:00.092801,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,True,4.0,False,1.5,True,True,False,False,False,True,FAIL
1,,2024-12-25 20:11:11.866152,2024-12-25 20:11:11.921112,0 days 00:00:00.054960,False,True,False,True,True,True,False,False,False,True,False,True,False,False,False,True,True,2.0,True,5.0,True,True,False,True,True,False,FAIL
2,,2024-12-25 20:12:57.994098,2024-12-25 20:12:58.338163,0 days 00:00:00.344065,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,2.0,True,5.0,False,False,True,True,True,False,FAIL
3,,2024-12-25 20:12:57.997019,2024-12-25 20:12:58.397714,0 days 00:00:00.400695,True,True,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,1.0,False,1.5,False,False,False,True,False,False,FAIL
4,,2024-12-25 20:13:34.865227,2024-12-25 20:13:35.279851,0 days 00:00:00.414624,True,False,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,4.5,True,3.5,False,False,True,False,False,True,FAIL
5,,2024-12-25 20:13:34.866654,2024-12-25 20:13:35.275416,0 days 00:00:00.408762,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,True,1.0,False,5.0,False,True,True,False,True,False,FAIL
6,,2024-12-25 20:14:43.149906,2024-12-25 20:14:43.492471,0 days 00:00:00.342565,True,True,False,True,True,False,False,True,True,True,True,False,True,False,False,False,False,4.5,False,5.0,True,False,True,False,False,True,FAIL
7,,2024-12-25 20:14:43.152078,2024-12-25 20:14:43.564257,0 days 00:00:00.412179,False,True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,3.5,False,1.0,False,False,False,False,True,False,FAIL
8,,2024-12-25 20:17:18.494048,2024-12-25 20:17:18.550077,0 days 00:00:00.056029,True,True,False,True,True,False,True,True,False,True,False,False,False,False,True,True,False,1.0,False,1.0,False,False,False,False,False,False,FAIL
9,,2024-12-25 20:17:18.496221,2024-12-25 20:17:18.579496,0 days 00:00:00.083275,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,1.5,True,4.0,False,False,False,False,False,True,FAIL
10,,2024-12-25 20:18:00.312037,2024-12-25 20:18:00.608624,0 days 00:00:00.296587,True,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,2.5,False,3.0,False,False,True,True,True,True,FAIL
11,,2024-12-25 20:18:00.313636,2024-12-25 20:18:00.739509,0 days 00:00:00.425873,False,False,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,1.5,False,2.5,False,False,False,False,True,True,FAIL
12,,2024-12-25 20:18:00.709468,2024-12-25 20:18:01.016628,0 days 00:00:00.307160,False,True,True,True,False,True,True,True,False,True,True,False,False,False,True,True,True,2.5,True,5.0,False,True,False,True,True,False,FAIL
13,,2024-12-25 20:18:00.746898,2024-12-25 20:18:01.140503,0 days 00:00:00.393605,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,4.5,False,1.5,False,False,True,True,False,False,FAIL
14,,2024-12-25 20:18:01.120950,2024-12-25 20:18:01.549903,0 days 00:00:00.428953,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,2.5,False,5.0,False,True,True,False,False,False,FAIL
15,,2024-12-25 20:18:01.147355,2024-12-25 20:18:01.381259,0 days 00:00:00.233904,False,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,2.0,False,4.0,True,False,False,False,False,False,FAIL
